"","state_county","trump","biden","others"
"700","idaho,caribou",2906,431,79
"701","idaho,cassia",7907,1464,272
"702","idaho,clark",264,41,6
"703","idaho,clearwater",3453,877,89
"704","idaho,custer",2089,603,47
"705","idaho,elmore",7246,2601,358
"706","idaho,franklin",5845,657,162
"707","idaho,fremont",5548,998,173
"708","idaho,gem",7951,1803,204
"709","idaho,gooding",4659,1256,135
"710","idaho,idaho county",7826,1561,215
"711","idaho,jefferson",12099,1661,413
"712","idaho,jerome",5734,1893,185
"713","idaho,kootenai",62837,24312,2729
"714","idaho,latah99.9% in",9472,10236,862
"715","idaho,lemhi",3592,1032,114
"716","idaho,lewis",1489,349,32
"717","idaho,lincoln",1469,414,57
"718","idaho,madison",13559,2666,887
"719","idaho,minidoka",6265,1550,178
"720","idaho,nez perce",13738,6686,543
"721","idaho,oneida",2148,249,54
"722","idaho,owyhee",3819,816,107
"723","idaho,payette",8862,2161,270
